group,strategy,symbols,count,median_return,median_drawdown,median_sharpe
consumer_growth,ema_cross,NFLX,1,55.9960511825839,-0.5553180467187875,0.8316167328442631
defensive_compounder,supertrend,COST,1,6.0036892094009975,-0.17787682378685066,0.890776262700455
defensive_compounder,ema_cross,WMT,1,2.3864295959165296,-0.34913933706086375,0.5619709565165832
high_beta_growth,macd_momentum,"ARM, TSLA",2,37.28379758282993,-0.45656970421929605,0.9203867736265332
mature_tech,ema_cross,CSCO,1,1.3759720061756107,-0.4703891814442903,0.37107900730971155
mega_cap_platform,ema_cross,"AMZN, GOOG, GOOGL, META, MSFT",5,5.847994648026423,-0.3223283517823202,0.6240450317362207
mega_cap_platform,supertrend,AAPL,1,12.084979371087362,-0.3077656668288411,0.9400667923559393
semiconductor_ai,ema_cross,"AMAT, AMD, ASML, AVGO, LRCX, MU, NVDA",7,20.012918333876048,-0.4492704369573871,0.7676253001201727
semiconductor_ai,macd_momentum,INTC,1,1.5273207902092896,-0.6394465469437799,0.3446645530943393
unclassified,supertrend,QQQ,1,3.220453614567157,-0.2201582298813447,0.7763664213004021
