symbol,group,strategy,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
NFLX,consumer_growth,ema_cross,55.9960511825839,0.27940116782501856,-0.5553180467187875,0.8316167328442631,1.072843706115656,0.5031372012415564,37.0,0.5135135135135135,0.20574320907780175,5.167815258127316
COST,defensive_compounder,supertrend,6.0036892094009975,0.12594427560704746,-0.17787682378685066,0.890776262700455,0.965797537056727,0.7080420761164825,56.0,0.5357142857142857,0.03946852506469005,3.38220406452804
WMT,defensive_compounder,ema_cross,2.3864295959165296,0.07716977522652524,-0.34913933706086375,0.5619709565165832,0.6165714904922099,0.22102858954868385,35.0,0.4857142857142857,0.0423175901819162,3.2028977283270867
TSLA,high_beta_growth,macd_momentum,72.65005649504035,0.3099382965293178,-0.5303164840568015,0.8589244663819042,1.021895353411944,0.5844402462438273,158.0,0.37341772151898733,0.04243486601222008,2.1861180121105805
ARM,high_beta_growth,macd_momentum,1.9175386706195234,0.4802185941580497,-0.38282292438179055,0.9818490808711621,1.2702008943323342,1.2544144134877515,26.0,0.46153846153846156,0.05810952530261811,2.3894706582305125
CSCO,mature_tech,ema_cross,1.3759720061756107,0.054156183751352005,-0.4703891814442903,0.37107900730971155,0.36017439408545365,0.11513058949415038,38.0,0.39473684210526316,0.010249428363268484,1.2777805435551008
META,mega_cap_platform,ema_cross,16.240779750044823,0.22497058924900282,-0.3223283517823202,0.8743134497460511,1.090466280196363,0.6979547036586264,25.0,0.48,0.18353912621708893,7.379274120422069
AAPL,mega_cap_platform,supertrend,12.084979371087362,0.16966013210333197,-0.3077656668288411,0.9400667923559393,0.9531253719453622,0.5512639985202954,63.0,0.49206349206349204,0.0503664913087715,2.964287188176578
AMZN,mega_cap_platform,ema_cross,6.181842221293003,0.12766921869030456,-0.5415572802667394,0.6090157872779391,0.736572225856953,0.23574462636237145,39.0,0.38461538461538464,0.06860900698344051,3.10912098994234
GOOG,mega_cap_platform,ema_cross,5.847994648026423,0.12440270433673883,-0.31344373786249846,0.6699596886621809,0.7699212267711892,0.39689006130762716,34.0,0.5,0.07125487662609983,3.5027645245020453
GOOGL,mega_cap_platform,ema_cross,4.8721254894147386,0.11391697673437662,-0.3373297095883785,0.6240450317362207,0.719306676119865,0.3377021753387275,35.0,0.4857142857142857,0.06469610813858033,3.1197478220170853
MSFT,mega_cap_platform,ema_cross,3.7457971695630112,0.09955364762726626,-0.31443267056463975,0.5925131729184654,0.6660337550211773,0.31661356133411217,36.0,0.4166666666666667,0.061809776490814414,3.0442501833213917
MU,semiconductor_ai,ema_cross,94.77107927253762,0.3205130573942203,-0.5638178449152106,0.9626432186360785,1.1802753231015717,0.5684691612455446,31.0,0.45161290322580644,0.13825814148914503,3.868190290401427
NVDA,semiconductor_ai,ema_cross,66.73958701452821,0.2929369436496685,-0.6020663106972675,0.8947828403168979,1.1378985598992135,0.4865526245944756,37.0,0.3783783783783784,0.20316575783982638,4.602105074236738
AMD,semiconductor_ai,ema_cross,24.95997971529523,0.21952915581173915,-0.6825576424356076,0.6717040648867993,0.7752558129608049,0.321627276823656,34.0,0.35294117647058826,0.1577545406502717,3.2654735659417278
LRCX,semiconductor_ai,ema_cross,20.012918333876048,0.20391689550167413,-0.4451266411253826,0.7676253001201727,0.9192030607724684,0.4581098425969861,33.0,0.42424242424242425,0.07678237762451647,2.62906523933567
AVGO,semiconductor_ai,ema_cross,17.89489948188511,0.19614679961704562,-0.4492704369573871,0.7329083574645927,0.9217529136717371,0.43658959833951855,38.0,0.4473684210526316,0.11400269720758557,3.797357012887557
AMAT,semiconductor_ai,ema_cross,17.239629766274067,0.19357664198897373,-0.4150250975050154,0.7665334079244683,0.8792558869693298,0.46642153246318907,33.0,0.42424242424242425,0.08885631765994322,3.1815902311022994
ASML,semiconductor_ai,ema_cross,15.425119498762662,0.18597884170223677,-0.43534503661598123,0.7739259473464085,0.9611089217495931,0.4271987183956093,33.0,0.45454545454545453,0.08112419580552462,3.323259615299147
INTC,semiconductor_ai,macd_momentum,1.5273207902092896,0.05813090383939534,-0.6394465469437799,0.3446645530943393,0.3598355644251496,0.09090815192799252,160.0,0.4,0.01038641190495116,1.4607494623836428
QQQ,unclassified,supertrend,3.220453614567157,0.09172025169780751,-0.2201582298813447,0.7763664213004021,0.808428213724701,0.4166105975108928,68.0,0.5147058823529411,0.024062257301146358,2.430409447900052
